[0.03954682 0.06613715 0.894316  ],[8.06406499e-02 6.18108953e-06 7.83675714e-06],[2.28086201e-01 1.74827613e-05 2.21656965e-05]
[0.00450582 0.01298467 0.9825096 ],[5.98995600e-02 1.12027230e-07 1.07580538e-07],[1.69421540e-01 3.16860856e-07 3.04283712e-07]
[0.47601324 0.04477515 0.47921163],[0.00207447 0.08782404 0.00398835],[0.00586748 0.24840391 0.01128075]
[0.02507423 0.0309036  0.94402224],[7.63485398e-02 2.01136173e-06 2.14714482e-06],[2.15946281e-01 5.68899008e-06 6.07304265e-06]
[0.00260201 0.00877662 0.9886214 ],[5.83922774e-02 9.01899748e-08 1.01576139e-07],[1.65158301e-01 2.55095771e-07 2.87300705e-07]
[0.06339858 0.02150068 0.91510075],[6.65224110e-02 1.15559061e-06 6.64641270e-07],[1.88153792e-01 3.26850382e-06 1.87988939e-06]
[0.07593922 0.16642322 0.7576376 ],[8.27320863e-02 7.07949716e-06 7.86780617e-06],[2.34001677e-01 2.00238418e-05 2.22535164e-05]
[0.01028182 0.01288894 0.97682923],[6.38692847e-02 2.56387206e-07 3.19484576e-07],[1.80649617e-01 7.25172529e-07 9.03638840e-07]
[0.06956872 0.07742513 0.8530061 ],[7.90371055e-02 8.68820732e-06 5.90593953e-06],[2.23550693e-01 2.45739613e-05 1.67045196e-05]
[0.40178478 0.02281785 0.5753974 ],[0.00013094 0.00974863 0.01372218],[0.00037037 0.0275733  0.0388122 ]
[0.0161901  0.5410902  0.44271964],[0.00055695 0.00398416 0.05279082],[0.00157528 0.01126892 0.149315  ]
[0.9194339  0.0051655  0.07540056],[2.63977663e-06 2.80556421e-05 5.26830188e-02],[7.46641582e-06 7.93533392e-05 1.49010079e-01]
[0.00733725 0.03057798 0.9620847 ],[6.13619142e-02 1.40309947e-07 1.49516224e-07],[1.73557703e-01 3.96856460e-07 4.22895745e-07]
[0.12763552 0.13420792 0.7381566 ],[0.0639567  0.01533367 0.00471303],[0.18089688 0.04337018 0.01333047]
[0.05779735 0.01122259 0.9309801 ],[6.39019016e-02 8.90732407e-07 4.59414884e-07],[1.80741872e-01 2.51937170e-06 1.29942152e-06]
[0.01123893 0.03849657 0.9502646 ],[6.17998781e-02 2.09892578e-07 3.06876712e-07],[1.74796452e-01 5.93665861e-07 8.67978416e-07]
[0.02088961 0.0894262  0.8896842 ],[6.51224322e-02 4.31923172e-07 6.83764947e-07],[1.84194054e-01 1.22166322e-06 1.93397932e-06]
[0.4653187  0.01590315 0.5187781 ],[0.01705786 0.02476005 0.00092258],[0.04824691 0.070032   0.00260944]
[0.00555517 0.00371134 0.9907335 ],[6.02732541e-02 1.19591000e-07 1.27223309e-07],[1.70478507e-01 3.38254428e-07 3.59841858e-07]
