[0.20466524 0.06867824 0.7266565 ],[0.02071625 0.01664872 0.0006522 ],[0.05859441 0.04708969 0.0018447 ]
[0.01481774 0.8164308  0.16875148],[6.22526104e-06 4.39950544e-02 1.26013270e-04],[1.76076972e-05 1.24436805e-01 3.56419351e-04]
[0.00607151 0.12469314 0.86923534],[6.29226199e-02 6.65713991e-07 1.84595691e-06],[1.77972045e-01 1.88292351e-06 5.22115459e-06]
[0.00805897 0.02630857 0.9656324 ],[5.87989433e-02 1.43672042e-07 2.39027172e-07],[1.66308526e-01 4.06365902e-07 6.76070937e-07]
[0.2051761  0.03166268 0.7631612 ],[7.73049301e-02 5.62474760e-05 2.23561682e-05],[2.18651361e-01 1.59091887e-04 6.32327926e-05]
[0.12873013 0.1003022  0.77096766],[8.05704449e-02 2.36160746e-05 4.70166921e-05],[2.27887632e-01 6.67963458e-05 1.32983287e-04]
[0.02002549 0.44304785 0.5369266 ],[0.00013028 0.01180639 0.01159337],[0.0003685  0.03339352 0.032791  ]
[0.03530483 0.19970706 0.7649881 ],[3.39058700e-02 3.73884272e-05 1.08404204e-03],[0.09590028 0.00010575 0.00306613]
[0.05257675 0.04683105 0.90059215],[7.31020432e-02 2.37306849e-06 1.67957998e-06],[2.06763802e-01 6.71205128e-06 4.75056957e-06]
[0.08796827 0.0121652  0.8998665 ],[7.04625214e-02 3.08705672e-06 1.62360004e-06],[1.99298107e-01 8.73151498e-06 4.59223441e-06]
[0.00844656 0.39921054 0.59234285],[0.00223309 0.00138449 0.0948186 ],[0.00631614 0.00391593 0.26818749]
[0.6331832  0.01475925 0.3520576 ],[0.00013656 0.00906194 0.01506348],[0.00038624 0.02563103 0.04260597]
[0.12660609 0.07550428 0.79788965],[7.52542588e-02 2.63058623e-04 8.34174168e-05],[0.21285119 0.00074404 0.00023594]
[0.02154624 0.01723118 0.9612226 ],[6.38868782e-02 4.40906921e-07 3.12215429e-07],[1.80699379e-01 1.24707309e-06 8.83078587e-07]
[0.06708428 0.03727593 0.8956398 ],[6.77022365e-02 5.92288435e-06 2.08410893e-06],[1.91490842e-01 1.67524468e-05 5.89475023e-06]
[0.01461001 0.01568408 0.96970594],[6.05410236e-02 1.33093625e-07 1.55829557e-07],[1.71235873e-01 3.76445619e-07 4.40752547e-07]
[0.03834753 0.00806478 0.9535877 ],[6.24031499e-02 1.60382780e-07 1.63097031e-07],[1.76502762e-01 4.53631004e-07 4.61308066e-07]
[0.07523223 0.03173463 0.8930331 ],[7.00468266e-02 8.84653650e-06 3.32503525e-06],[1.98122344e-01 2.50217838e-05 9.40461988e-06]
[0.01644353 0.01539706 0.9681594 ],[6.34491581e-02 2.48415313e-07 3.20588120e-07],[1.79461320e-01 7.02624608e-07 9.06760134e-07]
[0.00979048 0.04177025 0.9484393 ],[6.83297183e-02 4.37558379e-06 1.78258031e-06],[1.93265629e-01 1.23760199e-05 5.04189850e-06]
[0.03067665 0.03385087 0.9354725 ],[6.15921975e-02 1.70082717e-06 7.68497682e-06],[1.74209042e-01 4.81066570e-06 2.17363969e-05]
[0.55745006 0.0151514  0.42739853],[0.00086884 0.05954421 0.00449577],[0.00245746 0.16841646 0.01271596]
[0.47600052 0.01373641 0.51026314],[0.00028048 0.02714123 0.00699372],[0.0007933  0.07676698 0.01978122]
[0.03803949 0.08530688 0.8766536 ],[6.15520143e-02 1.02726479e-05 6.40676903e-05],[1.74095387e-01 2.90554358e-05 1.81210793e-04]
[0.03843974 0.02713868 0.9344216 ],[6.50424328e-02 5.45309016e-07 3.81527527e-07],[1.83967781e-01 1.54236681e-06 1.07912281e-06]
[0.03253267 0.03470543 0.93276197],[5.13121448e-02 3.74323998e-06 4.50840636e-05],[1.45132662e-01 1.05874815e-05 1.27516988e-04]
[0.2646938  0.04928346 0.6860227 ],[4.24095919e-02 1.36441103e-03 8.84641722e-05],[0.11995244 0.00385914 0.00025021]
[0.27562606 0.017051   0.70732296],[0.00409583 0.05958183 0.00077193],[0.01158476 0.16852287 0.00218335]
[0.02597565 0.05966648 0.91435784],[5.16449406e-02 2.45952453e-06 2.82073939e-05],[1.46073951e-01 6.95658590e-06 7.97825581e-05]
[0.01483616 0.01375328 0.9714106 ],[6.01353987e-02 1.60154394e-07 1.30171585e-07],[1.70088593e-01 4.52985032e-07 3.68180843e-07]
[0.01003789 0.44514832 0.5448138 ],[2.52655421e-02 3.84368937e-05 1.88119894e-03],[0.07146174 0.00010872 0.00532083]
[0.01363052 0.04463302 0.94173646],[5.99495750e-02 3.07862208e-07 1.83100588e-07],[1.69563004e-01 8.70765819e-07 5.17886669e-07]
[0.05913528 0.02798252 0.91288215],[6.78359068e-02 8.38650915e-07 1.42500479e-06],[1.91868919e-01 2.37206299e-06 4.03052219e-06]
