[0.03637354 0.63059866 0.33302778],[0.00052734 0.02789837 0.01050084],[0.00149154 0.07890851 0.02970087]
[0.02053687 0.02734275 0.95212036],[6.93175386e-02 6.23496064e-07 7.29981402e-07],[1.96059607e-01 1.76351318e-06 2.06469920e-06]
[0.03613686 0.08949937 0.87436384],[6.82769598e-02 1.86494863e-06 4.74781377e-06],[1.93116405e-01 5.27487129e-06 1.34288452e-05]
[0.01676102 0.0159819  0.96725714],[6.30429095e-02 2.06013449e-07 2.44846466e-07],[1.78312275e-01 5.82694029e-07 6.92530386e-07]
[0.08873361 0.16687922 0.7443872 ],[8.95875815e-02 5.37110661e-05 7.07647179e-05],[2.53391946e-01 1.51917836e-04 2.00152848e-04]
[0.01667875 0.01708125 0.96624005],[6.44404482e-02 2.38756959e-07 2.29841797e-07],[1.82265112e-01 6.75306659e-07 6.50090772e-07]
[0.15522587 0.0588536  0.78592056],[7.81222431e-02 3.76901152e-05 9.55162280e-05],[2.20963072e-01 1.06603744e-04 2.70160690e-04]
[0.00759158 0.9559739  0.03643446],[8.79917490e-07 5.76045832e-02 4.93731628e-06],[2.48878250e-06 1.62930366e-01 1.39648393e-05]
[0.02105577 0.02224186 0.9567024 ],[7.03052320e-02 6.65256925e-07 6.86734898e-07],[1.98853225e-01 1.88163073e-06 1.94237961e-06]
[0.04410737 0.21916358 0.7367291 ],[0.02154985 0.00050948 0.01422516],[0.06095217 0.00144102 0.04023484]
[0.46591702 0.02333203 0.51075095],[0.00422707 0.08912998 0.00226075],[0.01195597 0.25209767 0.00639436]
[0.02223379 0.03285497 0.9449112 ],[7.64859892e-02 3.05185350e-06 4.22415560e-06],[2.16335046e-01 8.63194523e-06 1.19477163e-05]
[0.01327623 0.01859729 0.9681264 ],[6.33332877e-02 2.15265747e-07 2.53566936e-07],[1.79133589e-01 6.08863479e-07 7.17195599e-07]
[0.01861715 0.50005186 0.481331  ],[0.01151063 0.00033159 0.01995025],[0.03255696 0.00093788 0.05642782]
[0.1018853  0.08156982 0.8165449 ],[8.65674805e-02 3.21431346e-05 4.54169049e-05],[2.44849810e-01 9.09145137e-05 1.28458406e-04]
[0.03759474 0.02461513 0.93779016],[6.99465976e-02 6.64022808e-07 7.39255005e-07],[1.97838854e-01 1.87814012e-06 2.09092891e-06]
[0.02857901 0.016405   0.9550161 ],[6.94524680e-02 6.42589248e-07 7.63964673e-07],[1.96441244e-01 1.81751686e-06 2.16081840e-06]
[0.03080997 0.01327319 0.9559168 ],[6.42863159e-02 2.41134120e-07 2.27980057e-07],[1.81829160e-01 6.82030285e-07 6.44824978e-07]
[0.02057985 0.3295824  0.6498377 ],[0.01023804 0.00028425 0.02019815],[0.02895755 0.00080399 0.057129  ]
[0.04872398 0.3198728  0.6314032 ],[0.02130138 0.00014158 0.0062725 ],[0.06024941 0.00040044 0.01774131]
[0.2704863  0.02865829 0.7008554 ],[6.69388001e-02 3.26867053e-04 6.72098173e-05],[0.18933152 0.00092452 0.0001901 ]
[0.01644373 0.4275792  0.5559771 ],[0.02128233 0.00025748 0.00931012],[0.06019551 0.00072827 0.026333  ]
[0.01909395 0.01762907 0.963277  ],[6.22007660e-02 2.01429639e-07 2.69473115e-07],[1.75930334e-01 5.69729055e-07 7.62185069e-07]
[0.11723476 0.01396094 0.86880434],[5.53567460e-02 2.33875341e-05 2.66617439e-06],[1.56572522e-01 6.61499357e-05 7.54107998e-06]
[0.01796756 0.0294487  0.9525838 ],[6.83858019e-02 6.26757985e-07 5.45041726e-07],[1.93424257e-01 1.77273928e-06 1.54161080e-06]
[0.02076784 0.01919995 0.9600322 ],[6.95129458e-02 5.59763997e-07 5.67079623e-07],[1.96612301e-01 1.58325167e-06 1.60394339e-06]
[0.01513925 0.01412558 0.9707352 ],[6.26553042e-02 1.93502252e-07 2.32086155e-07],[1.77215962e-01 5.47307018e-07 6.56438775e-07]
[0.24672112 0.03089145 0.7223874 ],[0.05419135 0.00105384 0.00011333],[0.15327627 0.0029807  0.00032055]
[0.25617376 0.02226805 0.7215582 ],[4.89552825e-02 2.66996923e-04 1.91033621e-05],[1.38466449e-01 7.55181339e-04 5.40324675e-05]
[0.32280588 0.01391144 0.66328263],[0.01334219 0.01503394 0.00022079],[0.03773742 0.04252241 0.00062448]
[0.01893679 0.01729797 0.96376526],[6.34138410e-02 2.06266533e-07 2.30249381e-07],[1.79361428e-01 5.83409858e-07 6.51243594e-07]
[0.03237244 0.02375806 0.9438695 ],[7.26530365e-02 1.64183420e-06 2.42521134e-06],[2.05493819e-01 4.64380837e-06 6.85953352e-06]
[0.01143238 0.04229029 0.9462774 ],[6.60402022e-02 3.07298198e-07 3.20318431e-07],[1.86789899e-01 8.69170558e-07 9.05997338e-07]
[0.03107367 0.02084684 0.94807947],[6.36399351e-02 2.50230777e-07 2.19582109e-07],[1.80000919e-01 7.07759517e-07 6.21071992e-07]
